subtype, vendor_action, vendor_status, action, change_type
user, authentication, success, success, auth
user, authentication, failure, failure, auth
user, auth-logon, logon, modified, AAA
wireless, client-ip-detected, unknown, added, auth
wireless, client-deauthentication, unknown, logoff, AAA
wireless, client-authentication, unknown, success, AAA
wireless, user-sign-on-success, unknown, success, AAA
wireless, user-sign-on, unknown, success, AAA
wireless, user-sign-on-failure, unknown, failure, AAA
wireless, oper-channel, unknown, modified, network_config
wireless, oper-txpower, unknown, modified, network_config
wireless, country-config-success, unknown, modified, network_config
wireless, config-txpower, unknown, modified, network_config
wireless, ap-join, unknown, modified, network_config
wireless, ap-add, unknown, modified, network_config
wireless, controller-cfg-loaded, unknown, read, network_config
wireless, controller-up, unknown, started, network_config
vpn, negotiate, success, success, auth
vpn, ssl-login-fail, unknown, failure, AAA
vpn, negotiate, failure, failure, auth
vpn, negotiate, negotiate_error, failure, auth
vpn, negotiate, esp_error, failure, auth
vpn, read, success, read, filesystem
vpn, modified, success, modified, filesystem
vpn, ssl-new-con, unknown, added, network_config
vpn, ssl-web-pass, unknown, added, network_config
vpn, ssl-web-close, unknown, blocked, network_config
vpn, tunnel-up, unknown, added, network_config
vpn, tunnel-down, unknown, blocked, network_config
vpn, delete_ipsec_sa, unknown, blocked, network_config
vpn, install_sa, unknown, added, network_config
endpoint, close, success, blocked, network_config
system, login, success, success, auth
system, login, failed, failure, auth
system, logout, success, logoff, AAA
system, logout, failed, logoff, AAA
system, add, unknown, created, network_config
system, Add, unknown, created, network_config
system, added, unknown, added, network_config
system, modified, unknown, modified, network_config
system, "Local user added", enable, modified, AAA
system, "User changed", unknown, modified, AAA
system, modified, update, modified, filesystem
system, delete, unknown, deleted, network_config
system, Delete, unknown, deleted, network_config
system, Edit, unknown, modified, network_config
system, shutdown, unknown, modified, restart
system, reboot, unknown, modified, restart
system, add-vdom, unknown, modified, network_config
system, pba-close, unknown, deleted, network_config
system, pba-create, unknown, created, network_config
system, read, unknown, read, filesystem
